DOLocationID,fare_per_mile,DOZone,DOBorough
182,8.20949152542373,Parkchester,Bronx
183,5.322985074626866,Pelham Bay,Bronx
184,4.842222222222222,Pelham Bay Park,Bronx
185,8.322809917355372,Pelham Parkway,Bronx
186,4.926619217081851,Penn Station/Madison Sq West,Manhattan
187,12.7025,Port Richmond,Staten Island
188,29.539255952380955,Prospect-Lefferts Gardens,Brooklyn
189,17.75576612903226,Prospect Heights,Brooklyn
190,7.763538461538461,Prospect Park,Brooklyn
191,6.184438775510205,Queens Village,Queens
192,5.382637362637363,Queensboro Hill,Queens
193,16.913177966101696,Queensbridge/Ravenswood,Queens
194,7.102714285714286,Randalls Island,Manhattan
195,22.983125,Red Hook,Brooklyn
196,13.690899182561308,Rego Park,Queens
197,7.643970099667774,Richmond Hill,Queens
198,8.37364779874214,Ridgewood,Queens
200,6.22421052631579,Riverdale/North Riverdale/Fieldston,Bronx
201,8.86945945945946,Rockaway Park,Queens
202,6.682037037037037,Roosevelt Island,Manhattan
203,23.634851485148513,Rosedale,Queens
204,3.3,Rossville/Woodrow,Staten Island
205,42.82575418994413,Saint Albans,Queens
206,3.64,Saint George/New Brighton,Staten Island
207,33.122258064516124,Saint Michaels Cemetery/Woodside,Queens
208,6.072359550561797,Schuylerville/Edgewater Park,Bronx
209,4.534305555555555,Seaport,Manhattan
210,14.583229813664596,Sheepshead Bay,Brooklyn
211,5.6872727272727275,SoHo,Manhattan
212,16.41350710900474,Soundview/Bruckner,Bronx
213,6.485442834138486,Soundview/Castle Hill,Bronx
214,3.6550000000000002,South Beach/Dongan Hills,Staten Island
215,11.178228346456693,South Jamaica,Queens
216,27.03621951219512,South Ozone Park,Queens
217,10.507878787878788,South Williamsburg,Brooklyn
218,36.178304347826085,Springfield Gardens North,Queens
219,33.86669172932331,Springfield Gardens South,Queens
220,10.287404844290657,Spuyten Duyvil/Kingsbridge,Bronx
221,3.7590909090909093,Stapleton,Staten Island
222,10.4858,Starrett City,Brooklyn
223,9.194799107142858,Steinway,Queens
224,4.211976744186047,Stuy Town/Peter Cooper Village,Manhattan
225,22.56998254799302,Stuyvesant Heights,Brooklyn
226,7.382060390763766,Sunnyside,Queens
227,6.406102941176471,Sunset Park East,Brooklyn
228,7.951572700296736,Sunset Park West,Brooklyn
229,5.1361672473867594,Sutton Place/Turtle Bay North,Manhattan
230,4.631374407582938,Times Sq/Theatre District,Manhattan
231,4.934764150943397,TriBeCa/Civic Center,Manhattan
232,4.508502994011976,Two Bridges/Seward Park,Manhattan
233,4.614761904761905,UN/Turtle Bay South,Manhattan
234,8.03873873873874,Union Sq,Manhattan
235,7.953060747663551,University Heights/Morris Heights,Bronx
236,8.070552584670232,Upper East Side North,Manhattan
237,5.830742705570292,Upper East Side South,Manhattan
238,6.519792072774528,Upper West Side North,Manhattan
239,5.827186836518047,Upper West Side South,Manhattan
240,6.096363636363637,Van Cortlandt Park,Bronx
241,25.966097560975612,Van Cortlandt Village,Bronx
242,8.123603744149765,Van Nest/Morris Park,Bronx
243,9.562553571428571,Washington Heights North,Manhattan
244,11.34253864930838,Washington Heights South,Manhattan
245,3.875,West Brighton,Staten Island
246,4.255828877005348,West Chelsea/Hudson Yards,Manhattan
