PULocationID,fare_per_mile,PUZone,PUBorough
195,48.66571428571429,Red Hook,Brooklyn
196,7.754557823129252,Rego Park,Queens
197,8.49366,Richmond Hill,Queens
198,6.95344827586207,Ridgewood,Queens
200,4.16632183908046,Riverdale/North Riverdale/Fieldston,Bronx
201,7.116818181818182,Rockaway Park,Queens
202,10.589642857142858,Roosevelt Island,Manhattan
203,7.745862068965517,Rosedale,Queens
205,25.974852941176472,Saint Albans,Queens
206,4.7725,Saint George/New Brighton,Staten Island
207,35.32958333333333,Saint Michaels Cemetery/Woodside,Queens
208,6.866666666666666,Schuylerville/Edgewater Park,Bronx
209,6.625238095238095,Seaport,Manhattan
210,6.505477386934673,Sheepshead Bay,Brooklyn
211,24.326666666666668,SoHo,Manhattan
212,6.288658008658009,Soundview/Bruckner,Bronx
213,6.713771626297578,Soundview/Castle Hill,Bronx
214,3.56,South Beach/Dongan Hills,Staten Island
215,15.379929078014186,South Jamaica,Queens
216,20.787759336099587,South Ozone Park,Queens
217,21.77722222222222,South Williamsburg,Brooklyn
218,40.31636363636363,Springfield Gardens North,Queens
219,5.449195402298851,Springfield Gardens South,Queens
220,9.373557692307692,Spuyten Duyvil/Kingsbridge,Bronx
221,3.9111111111111114,Stapleton,Staten Island
222,64.89363128491621,Starrett City,Brooklyn
223,10.530730158730158,Steinway,Queens
224,5.425,Stuy Town/Peter Cooper Village,Manhattan
225,19.918378378378378,Stuyvesant Heights,Brooklyn
226,9.417980535279804,Sunnyside,Queens
227,9.8132,Sunset Park East,Brooklyn
228,10.028333333333334,Sunset Park West,Brooklyn
229,6.064,Sutton Place/Turtle Bay North,Manhattan
230,5.5235,Times Sq/Theatre District,Manhattan
231,4.0296666666666665,TriBeCa/Civic Center,Manhattan
232,5.282857142857143,Two Bridges/Seward Park,Manhattan
233,5.1674999999999995,UN/Turtle Bay South,Manhattan
234,4.8566666666666665,Union Sq,Manhattan
235,10.926487935656835,University Heights/Morris Heights,Bronx
236,9.416692913385827,Upper East Side North,Manhattan
237,6.193939393939394,Upper East Side South,Manhattan
238,6.819750000000001,Upper West Side North,Manhattan
239,10.272083333333333,Upper West Side South,Manhattan
240,5.965593220338984,Van Cortlandt Park,Bronx
241,30.234375,Van Cortlandt Village,Bronx
242,8.10381404174573,Van Nest/Morris Park,Bronx
243,14.749413145539906,Washington Heights North,Manhattan
244,8.409923698384201,Washington Heights South,Manhattan
246,6.30375,West Chelsea/Hudson Yards,Manhattan
247,20.407216035634743,West Concourse,Bronx
248,13.331,West Farms/Bronx River,Bronx
249,4.5233333333333325,West Village,Manhattan
250,8.19156976744186,Westchester Village/Unionport,Bronx
252,4.441428571428571,Whitestone,Queens
253,4.040666666666667,Willets Point,Queens
254,12.545813953488373,Williamsbridge/Olinville,Bronx
255,7.263185483870967,Williamsburg (North Side),Brooklyn
256,6.550179640718562,Williamsburg (South Side),Brooklyn
257,5.993584905660378,Windsor Terrace,Brooklyn
258,13.069186046511629,Woodhaven,Queens
259,16.846486486486484,Woodlawn/Wakefield,Bronx
260,9.179926062846581,Woodside,Queens
261,6.303846153846154,World Trade Center,Manhattan
262,6.34,Yorkville East,Manhattan
263,7.743825503355704,Yorkville West,Manhattan
